CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;7952;E;1;0;;1.625;1.122;0.177;Azul;137;
1;CH;8120;C;16;0;;2.442;0.208;0.171;Rosa;140;
1;CH;9054;C;25;0;;2.169;1.621;0.188;Amarelo;138;
1;CH;9689;A;3;0;;1.766;-0.102;0.164;Branco;139;
1;CH;9689;A;3;0;;1.766;-0.102;0.164;Branco (Ledor);154;
2;CH;8011;A;13;0;;1.568;-0.189;0.168;Branco;139;
2;CH;8011;A;13;0;;1.568;-0.189;0.168;Branco (Ledor);154;
2;CH;8450;E;26;0;;0.929;0.518;0.171;Amarelo;138;
2;CH;8454;E;27;0;;2.156;2.567;0.148;Rosa;140;
2;CH;9690;A;23;0;;2.016;0.823;0.203;Azul;137;
3;CH;7569;B;9;0;;2.851;0.683;0.133;Rosa;140;
3;CH;8503;B;9;0;;2.617;1.099;0.252;Amarelo;138;
3;CH;11047;D;24;0;;1.324;2.95;0.286;Azul;137;
3;CH;14121;B;24;0;;2.641;0.468;0.16;Branco;139;
3;CH;14121;B;24;0;;2.641;0.468;0.16;Branco (Ledor);154;
4;CH;7592;D;21;0;;2.375;1.921;0.066;Rosa;140;
4;CH;7795;D;22;0;;2.159;0.644;0.142;Branco;139;
4;CH;7795;D;22;0;;2.159;0.644;0.142;Branco (Ledor);154;
4;CH;8102;B;3;0;;2.155;0.752;0.254;Azul;137;
4;CH;14529;E;11;0;;2.383;0.003;0.167;Amarelo;138;
5;CH;7586;D;2;0;;1.493;0.705;0.146;Rosa;140;
5;CH;7589;E;12;0;;2.155;0.211;0.171;Branco;139;
5;CH;7589;E;12;0;;2.155;0.211;0.171;Branco (Ledor);154;
5;CH;7612;C;22;0;;1.272;-0.224;0.202;Amarelo;138;
5;CH;9689;A;3;0;;1.766;-0.102;0.164;Azul;137;
6;CH;7597;E;7;0;;1.253;1.64;0.267;Branco;139;
6;CH;7784;E;1;0;;1.139;1.975;0.199;Branco (Ledor);154;
6;CH;8011;A;13;0;;1.568;-0.189;0.168;Azul;137;
6;CH;8416;C;17;0;;1.147;3.067;0.244;Rosa;140;
6;CH;8451;A;29;0;;1.398;-0.295;0.15;Amarelo;138;
7;CH;7572;E;15;0;;1.194;1.197;0.222;Branco;139;
7;CH;7572;E;15;0;;1.194;1.197;0.222;Branco (Ledor);154;
7;CH;7952;E;1;0;;1.625;1.122;0.177;Amarelo;138;
7;CH;10932;D;4;0;;2.451;0.542;0.14;Rosa;140;
7;CH;14121;B;24;0;;2.641;0.468;0.16;Azul;137;
8;CH;6899;E;2;0;;2.165;0.333;0.145;Branco;139;
8;CH;6899;E;2;0;;2.165;0.333;0.145;Branco (Ledor);154;
8;CH;7795;D;22;0;;2.159;0.644;0.142;Azul;137;
8;CH;9690;A;23;0;;2.016;0.823;0.203;Amarelo;138;
8;CH;13850;A;26;0;;1.687;1.227;0.123;Rosa;140;
9;CH;6905;E;22;0;;1.336;1.262;0.122;Branco (Ledor);154;
9;CH;7952;E;1;0;;1.625;1.122;0.177;Branco;139;
9;CH;9054;C;25;0;;2.169;1.621;0.188;Azul;137;
9;CH;9101;E;4;0;;1.688;2.01;0.187;Rosa;140;
9;CH;9689;A;3;0;;1.766;-0.102;0.164;Amarelo;138;
10;CH;8011;A;13;0;;1.568;-0.189;0.168;Amarelo;138;
10;CH;8450;E;26;0;;0.929;0.518;0.171;Azul;137;
10;CH;9690;A;23;0;;2.016;0.823;0.203;Branco;139;
10;CH;9690;A;23;0;;2.016;0.823;0.203;Branco (Ledor);154;
10;CH;11449;C;23;0;;1.135;2.452;0.189;Rosa;140;
11;CH;7952;E;1;0;;1.625;1.122;0.177;Rosa;140;
11;CH;8503;B;9;0;;2.617;1.099;0.252;Azul;137;
11;CH;9054;C;25;0;;2.169;1.621;0.188;Branco;139;
11;CH;9054;C;25;0;;2.169;1.621;0.188;Branco (Ledor);154;
