"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,427486518564129;0,362345200921809;0,376373037952373;0,397095149929909;0,392812567116887;0,368773899101928;0,30565811178554;0,255897799287403;0,214397149394592;0,209716212416944
"ALETF20";0,563526633122579;0,412895528199976;0,380779342095344;0,418635787944062;0,461742578439891;0,480322698056458;0,462826642624081;0,429901384941565;0,370969928202656;0,33143877468338
"ALEEP30";0,392833681775895;0,35443044406427;0,381036917036092;0,404004116298087;0,38189694618294;0,331136045793848;0,285526456234405;0,262128590023124;0,262064122075269;0,285237160897489
"ALEEP30RE015";0,616772280526943;0,440098128970179;0,383615739918735;0,415776315077825;0,471848413534957;0,504903477239968;0,518877625364545;0,495198972861539;0,442353264614233;0,39553583601922
"MIFTF45";0,294280669287534;0,266928056023344;0,229612356992128;0,195534266529442;0,166658615975689;0,138492398500856;0,123777466840353;0,111239894217085;0,101094826186828;0,102319223382441
"MIFTF20";0,345708091865612;0,317089761987679;0,291785195956352;0,265956702560738;0,234353023460077;0,19870057483262;0,173199702596908;0,161852819926489;0,146577965085123;0,147980090936317
"MIFEP30";0,349564383407783;0,30463888405165;0,250670247459277;0,235821166766659;0,235960158356704;0,22027056841812;0,193475583919506;0,181399697636416;0,169782959087644;0,170856059218133
"MIFEP30RE015";0,362141405237011;0,331686971989484;0,313088545579836;0,290337290036362;0,264832531973039;0,230616065279115;0,1970887136886;0,18276122987587;0,170987829181594;0,172028164589751
"PR1TF45";0,319685488349172;0,289525761255672;0,261665833811954;0,23232894625038;0,19564256556596;0,159991234267257;0,143877958946676;0,122767965298896;0,109833133031079;0,113883741867554
"PR1TF20";0,365189364573639;0,336268265203639;0,319166429017868;0,297215025298474;0,275928291036729;0,225659354147805;0,201707937120994;0,182054295091773;0,166408125220004;0,166538476454552
"PR2TF45";0,326940458561158;0,301109787944497;0,273224387511741;0,244048019590706;0,206826226031861;0,169175008498677;0,149616630811628;0,131868309926191;0,119324808077036;0,11831931627049
"PR2TF20";0,371974908560804;0,340680237282904;0,335650124534733;0,307491174814661;0,290227635139138;0,251233674078758;0,210209280770636;0,190056086762588;0,177965437562965;0,178493791476748
"PR2EP30";0,359067223277962;0,334511022986822;0,293370557127977;0,264631628571165;0,257426271304771;0,24295362271805;0,22956531584492;0,230782728089684;0,223789458466033;0,217901396977461
"PR2EP30RE015";0,440754944300209;0,357793962160148;0,370777245977654;0,401655137169117;0,420170822605585;0,391807247592743;0,328784905941517;0,287435786236043;0,24430084214691;0,224582578748934
"PR3EP30";0,36710866722443;0,345476068317915;0,300317425288633;0,27084013901784;0,26706023887543;0,246402759346619;0,234133249840486;0,241003999404799;0,238998889565769;0,236432889258275
"PR3EP30RE015";0,560257596658976;0,394771536638868;0,367672908879629;0,397166740206156;0,448241777110871;0,472533912109696;0,448610344031685;0,418440434518738;0,344967464095854;0,278916746341959
