"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,430821528222104;0,371794465759452;0,375978838563182;0,399018751343025;0,421304347614931;0,402194128518243;0,395377321860147;0,352873274965076;0,291707832970329;0,221910402188891
"ALETF20";0,565225900371484;0,434448453354031;0,38734228817349;0,40327222563934;0,435001114864944;0,472384578520173;0,502455158000445;0,507585815416293;0,491626161989393;0,392066837778221
"ALEEP30";0,402016721533513;0,365462494476664;0,376850452294139;0,39958854560782;0,406643639591627;0,39388866007881;0,354672990248248;0,319771732039698;0,270997546499399;0,269251827889036
"ALEEP30RE015";0,615258735987223;0,446637927247826;0,405542989572531;0,403716924087233;0,431052540283479;0,471506441246916;0,533100395386106;0,560382549271249;0,544101198911104;0,475189044114862
"MIFTF45";0,284133677506557;0,252779147393804;0,228737251783619;0,2044885733521;0,179364810629065;0,157245341789565;0,141613539850995;0,125147436219703;0,114269427821435;0,102917376896774
"MIFTF20";0,314157478912765;0,309169658891853;0,290795903658325;0,261073042114102;0,233524003587318;0,212474308747229;0,195041719670646;0,17801542970348;0,165560208315656;0,148694485380804
"MIFEP30";0,320431558085155;0,282544583246088;0,252789952615605;0,245294911581659;0,233732036200417;0,224030299424319;0,2112812502633;0,197538786455047;0,188755668828909;0,171748713627988
"MIFEP30RE015";0,321142711372421;0,32649748693007;0,312969529588229;0,283808311548648;0,252584104750488;0,229922081722746;0,215364655534296;0,199185408143285;0,189511997767649;0,171774727052689
"PR1TF45";0,322815181514905;0,29263175965389;0,279690176674712;0,255301549885001;0,234219531222199;0,203463419035034;0,176580980504248;0,150993853113383;0,129237190047755;0,113262701436536
"PR1TF20";0,3471865225174;0,330595115932368;0,322855727295789;0,312714288825492;0,285762275911869;0,257728082451265;0,233101268046865;0,205490636698047;0,189672974000252;0,16927534448949
"PR2TF45";0,324933029547034;0,300308047970375;0,285149121252108;0,265010905591326;0,236659074969314;0,21297439338688;0,184545490125292;0,157754068189014;0,136966096286927;0,118231845202781
"PR2TF20";0,348083901728359;0,346517082388817;0,336936625837868;0,329722197873673;0,297839865421928;0,272492496305924;0,25001562175325;0,21775709550213;0,20262057937329;0,176467604353457
"PR2EP30";0,347858149480329;0,329055883981691;0,304534596345114;0,287244188314445;0,271734545086776;0,254876733565973;0,24661538955899;0,240464692435958;0,23829769675483;0,231962175428198
"PR2EP30RE015";0,443943922073789;0,361613976419185;0,366288700507275;0,377478568235336;0,40161910951045;0,415098950613873;0,420902171588644;0,394236346647812;0,334634683901942;0,257870150564567
"PR3EP30";0,358384249882953;0,330667609613893;0,318241971742636;0,302991730378903;0,277430082692988;0,25998297579726;0,254336605100881;0,246822815359239;0,243553328068311;0,246556646228365
"PR3EP30RE015";0,570406471707777;0,412708087003664;0,369588362528832;0,381113502620325;0,413778089747499;0,461986658453859;0,499505660172866;0,520749231344223;0,482104547806855;0,365510539268932
