"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,366290075121986;0,34693805373028;0,319403148397476;0,28080635851383;0,252195968091002;0,224750636737051;0,209697772303194;0,19856872690364;0,196265076682663;0,210114909956427
"ALETF20";0,445149467155676;0,405856557017858;0,413429208261482;0,408051975780751;0,39761486655261;0,374324469781625;0,345881998805227;0,329307156930255;0,316213089021727;0,315934061872919
"ALEEP30";0,367210040943482;0,355517960907696;0,312041038437033;0,277690551306097;0,260930193688129;0,258926248892171;0,261827996532635;0,257118637554201;0,268033238020773;0,282541017925358
"ALEEP30RE015";0,486090482119398;0,403885770485859;0,441174469571581;0,454728697542365;0,439623010649952;0,433429683124213;0,409640685800046;0,3802107406079;0,368058594793589;0,356153822292192
"MIFTF45";0,232230392234409;0,16524514227968;0,132240507831707;0,118213513948084;0,111590139776739;0,108571740461444;0,103309656853529;0,102826106898387;0,0997932327747796;0,111248815123125
"MIFTF20";0,291007591562304;0,234946211658062;0,195836431800131;0,171771745068956;0,160686258866181;0,15120217855062;0,149796957607164;0,147244940262085;0,147504203942982;0,157862742023104
"MIFEP30";0,277168607322066;0,225308678788324;0,210746889359517;0,193653026245171;0,175937297072263;0,17100010337274;0,172424969099097;0,167981245918129;0,171371432044777;0,180562263265641
"MIFEP30RE015";0,3125562796094;0,260666289057421;0,218618515468181;0,19797999556998;0,177142138261943;0,172608806007753;0,173573992836151;0,168766646510158;0,171850917224169;0,180810522440667
"PR1TF45";0,301156219854167;0,253590203191559;0,213297186053099;0,199488996093576;0,17242445576051;0,156437996693865;0,15004364445267;0,145226051231477;0,143510527740178;0,162939581876052
"PR1TF20";0,310000334407573;0,258596387506876;0,218419971677561;0,201528224816764;0,181605073395122;0,179086327956065;0,169136349807102;0,173931059535828;0,169406992358778;0,178265973351628
"PR2TF45";0,302028771224805;0,251963092538229;0,206539791195731;0,189659883393128;0,166190880444929;0,15539644944368;0,147589878103107;0,145236983895665;0,145414837230095;0,160963718746931
"PR2TF20";0,318793127397909;0,273057463411429;0,226392526776622;0,208347187740393;0,189504220843093;0,184522170702005;0,177720667732051;0,176610775110148;0,176835474865743;0,187940362052791
"PR2EP30";0,301765541426108;0,257186425872538;0,238977500107875;0,229952426546595;0,210583660207527;0,209942848878604;0,205718929499612;0,210538289308445;0,216323389147897;0,224719022632217
"PR2EP30RE015";0,360417898232614;0,312651277244178;0,285615765375906;0,279627382129511;0,253454539241952;0,243897250313521;0,234355367572836;0,228288666452497;0,222969849156383;0,224622766498558
"PR3EP30";0,302003577009844;0,245385953494278;0,228556559416082;0,221810893023448;0,203291108504084;0,201842651896989;0,201902948555477;0,203941068007655;0,199189884667065;0,211075619805257
"PR3EP30RE015";0,346550494598974;0,302424217230947;0,274100688192024;0,246526072556607;0,228507846965597;0,223642195997477;0,214939289538232;0,208399757505571;0,203409802365888;0,218639598432021
