"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,538353604797065;0,419496059589478;0,390494087412105;0,408491939340342;0,449474109995725;0,4993955330089;0,513782328454916;0,470758932192007;0,372913921656044;0,255796989957968
"ALETF20";0,682232800311838;0,494238245879916;0,423643361478594;0,402056869111057;0,4438939179807;0,529250618193261;0,606587722588331;0,643223640665366;0,631720005404482;0,496577303419976
"ALEEP30";0,496095429748302;0,395366217619731;0,390838839535955;0,41590438527352;0,454899273819257;0,482770253436763;0,466399600652428;0,404784297739137;0,322080506940042;0,293490445151108
"ALEEP30RE015";0,739327385401883;0,532710112101759;0,422071861029632;0,391266839451645;0,42733310729364;0,52917969486477;0,625312963408924;0,704052702626828;0,722141316729107;0,596765479461161
"MIFTF45";0,340742555703465;0,326278393390308;0,306683715998032;0,279091692793871;0,251787024292779;0,216407639737273;0,181038067142976;0,149377879819928;0,130173594979743;0,121639339565286
"MIFTF20";0,384438050201312;0,363331304428045;0,349418382540657;0,33843177130718;0,325518017526902;0,295116529987217;0,259459108422904;0,214420641249628;0,184731507312681;0,180886163222436
"MIFEP30";0,357485251057766;0,354314064184703;0,337947486964294;0,304250087274613;0,270112186648762;0,24151133618911;0,243757323260763;0,234603737365868;0,209750294617321;0,210554773982203
"MIFEP30RE015";0,398151702890106;0,37165210733684;0,35822613198408;0,353269367041563;0,343795276053426;0,316570921032463;0,283471026562342;0,242814047849564;0,21027290619248;0,21073191038213
"PR1TF45";0,371737568399685;0,349191542820308;0,343287573243012;0,326531802188835;0,3080757576506;0,278797635869678;0,233410358026549;0,185854984817674;0,150219190106684;0,132216591198475
"PR1TF20";0,425357672131556;0,388511524464643;0,373687793295173;0,37451035298566;0,364360678329969;0,353342949028603;0,318894481115917;0,265571587676596;0,22264878798595;0,202249250778043
"PR2TF45";0,373622021415358;0,358105596102902;0,34773904103985;0,332884291023238;0,318959257711941;0,283175986300092;0,240722174895304;0,195461596388415;0,157553195426351;0,137257863692556
"PR2TF20";0,426204042355929;0,394302991165322;0,380378737650417;0,383184020512901;0,383670018965058;0,361671481433376;0,332694615490848;0,288695431197987;0,23764205860366;0,217818838721711
"PR2EP30";0,378504242412499;0,371630395009344;0,361548489486942;0,352244372569814;0,323818068472065;0,292701327448449;0,264866374358749;0,249218440444123;0,255892903669847;0,274184687882136
"PR2EP30RE015";0,544959243328283;0,425694698910862;0,393742815554413;0,407869022941969;0,440411519845743;0,481570323006758;0,517120054457626;0,495022623587772;0,428542034323432;0,318011382478697
"PR3EP30";0,378579390362545;0,373069547017534;0,358038433584643;0,357541720242039;0,344275246192538;0,305402132198643;0,277830266591153;0,260887893123032;0,259423103749722;0,283579958688131
"PR3EP30RE015";0,679751795133597;0,500392237583405;0,410147104706934;0,404504033778678;0,443225860373073;0,513685495371112;0,60711553359774;0,640692103768734;0,637777539527429;0,484936382293341
