"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,547819912558543;0,524495314017055;0,494091925816578;0,460186642409861;0,406110806937706;0,342421255818734;0,284281353637816;0,236100845535259;0,202848204464565;0,205441452929127
"ALETF20";0,619083044379462;0,606656810393662;0,592573172678637;0,572943578198265;0,541623938276359;0,503701549913971;0,454992832301731;0,402175659559366;0,343547837185272;0,32163263790136
"ALEEP30";0,523025254787028;0,493564607111662;0,458799796659482;0,417128665093932;0,366487594530998;0,320208818533865;0,298279892670984;0,290734959207052;0,289685080245277;0,29018003218353
"ALEEP30RE015";0,641383880594135;0,632871026518276;0,622897354790159;0,608003839533633;0,586786847407897;0,551865107615215;0,515420814770771;0,462727241783334;0,403950810163452;0,374596351851115
"MIFTF45";0,331244018479835;0,278179534157353;0,231023448186006;0,192971618369323;0,159745661981637;0,135847499983701;0,1223456436142;0,111051620935904;0,0986985590048594;0,101997276844316
"MIFTF20";0,401942790443743;0,355767705738083;0,312358016735977;0,272880609706458;0,231588142530811;0,195446261044842;0,175443031718876;0,161461370445035;0,145400163650527;0,145407463756532
"MIFEP30";0,3286406596896;0,300004704602757;0,286055721592731;0,273570275498441;0,25021115775186;0,221227868849335;0,201399391287115;0,187139931922192;0,17053549755909;0,168868621345416
"MIFEP30RE015";0,423566469078607;0,381281311875737;0,341925752766394;0,304705107358131;0,2651269479175;0,226878266363197;0,204507137928363;0,188810979664165;0,171448835147739;0,16913204520608
"PR1TF45";0,362922287207812;0,313766469477287;0,267966357390844;0,229731652031715;0,188183818061273;0,158320759333167;0,13921004047778;0,122379997227537;0,107548443486431;0,109809759330845
"PR1TF20";0,433758570214194;0,39353828024776;0,351041576995418;0,312112918859308;0,266995196731911;0,225425259416499;0,201764022955605;0,183087474100005;0,164138287755378;0,161213501982488
"PR2TF45";0,376639796007472;0,32952519685059;0,282846970623012;0,242637320068942;0,199778478882545;0,166646582777974;0,14691848126521;0,129888300995148;0,114201431885681;0,116406628454413
"PR2TF20";0,447931059396052;0,410907966888517;0,370686411454307;0,329414517490426;0,286243083862423;0,241515174249835;0,215055186403521;0,196027641754421;0,175517208353212;0,171637799490554
"PR2EP30";0,348278163643521;0,312116833583818;0,294561533135736;0,287650611263718;0,281731141511743;0,2723472087446;0,260868094318512;0,24688775396566;0,22320779531721;0,210658449960568
"PR2EP30RE015";0,560037050388927;0,534988149568705;0,500780320767609;0,466826260873034;0,413564238236228;0,355390474973371;0,301971082396141;0,265137695800354;0,228873029739653;0,212661854431657
"PR3EP30";0,362968336739663;0,323043920805823;0,298297462257385;0,289222590534332;0,284077681582207;0,2794947682774;0,275386312285473;0,266131335405756;0,247206745183542;0,235636276219232
"PR3EP30RE015";0,620354937295407;0,606146422935905;0,587519332898205;0,565756865283144;0,532146780584522;0,475680498206415;0,41655835398146;0,353317941078739;0,28229941482608;0,249758159772095
