"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,56363006888561;0,543044913695344;0,525788434406206;0,50062027338634;0,475536363503292;0,433391805684088;0,385474919447534;0,327572999078014;0,267683970933622;0,210803419930366
"ALETF20";0,635832516414643;0,627824822906964;0,618642573546824;0,609419233414441;0,593985708189009;0,57144214191596;0,546818771400555;0,508361873241175;0,456295116289875;0,356110421425217
"ALEEP30";0,535292452756535;0,511435619195189;0,48587867645524;0,460056031436259;0,426158377233966;0,385412137522291;0,340439394053906;0,311733710709042;0,292798933039532;0,289976105448998
"ALEEP30RE015";0,6607976802605;0,654345948463914;0,646159855326844;0,640333389449358;0,629815692581634;0,61497108482881;0,595613992618687;0,565074420574776;0,515836996809861;0,421120096230842
"MIFTF45";0,318835101200888;0,269351271418689;0,230118788080362;0,19992777235664;0,173310393853216;0,154350018655639;0,139525924171653;0,126293067407003;0,112393472346424;0,10273224621399
"MIFTF20";0,378749224618243;0,335361742931661;0,298246312471565;0,265012268693461;0,237010010348913;0,215697958874685;0,198579411791152;0,181463398548376;0,160842390128915;0,149154927797397
"MIFEP30";0,323777304218364;0,296414645207404;0,28087134471403;0,266558773021256;0,249836873207053;0,234788053404699;0,22101082667155;0,206534943745405;0,187432686755496;0,174043808745204
"MIFEP30RE015";0,393686507281256;0,353131970078562;0,318499944136726;0,286562020961976;0,258508318024144;0,239271789844737;0,223682639331033;0,208035735466439;0,188319231643704;0,174077403264471
"PR1TF45";0,36828595748704;0,32795140743975;0,290628288207717;0,261939698735074;0,227380969668842;0,200158870867127;0,174333330499504;0,1478132355307;0,125761530337974;0,110796271018219
"PR1TF20";0,427893508716096;0,390230348441327;0,356059228405354;0,326183604383687;0,289774159985074;0,259968978956892;0,233152339480609;0,208585267147613;0,184501049725496;0,166295828962235
"PR2TF45";0,37805751460539;0,335987917695639;0,300743738606766;0,272815810223938;0,235373144057977;0,207885096011915;0,181071232075217;0,155009560136159;0,133042571259016;0,117419766256117
"PR2TF20";0,442644511209802;0,405731972011778;0,372595630950859;0,344113811553966;0,307241919864549;0,278842671901497;0,250289052320554;0,224248857646817;0,199256138946727;0,177173822926943
"PR2EP30";0,3512094614138;0,317909480235611;0,298799045361024;0,291042788058216;0,285381401352551;0,282510140720775;0,277834132704275;0,269090591516963;0,254292306461915;0,227406538509515
"PR2EP30RE015";0,573221356576777;0,555957693435325;0,531812369516515;0,507683261850345;0,47574409819482;0,435231468877054;0,390164034900489;0,343185378275854;0,289743631975221;0,233782190355851
"PR3EP30";0,365811429060033;0,329492155491868;0,305209881475303;0,293491842682924;0,285916106427652;0,283417689684576;0,280830701517386;0,278090232142018;0,271542865748662;0,250842842772989
"PR3EP30RE015";0,640950928058794;0,628728870393439;0,621417053881303;0,607780399244637;0,590419930701516;0,564549557614491;0,529133279978118;0,48307862175911;0,410485018854531;0,299668920551351
