"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,468446386142981;0,383617161871592;0,317769422318646;0,272026562586821;0,241026467038179;0,219736877526742;0,20419477250727;0,195159683041146;0,193605047211081;0,213501459101263
"ALETF20";0,553445862325144;0,510231881749246;0,459957880478109;0,422808810497506;0,389107785793715;0,363231639519428;0,336064126192122;0,317442656514596;0,307364451363865;0,322933093386005
"ALEEP30";0,434815215848704;0,350543935598977;0,308325853368973;0,29454112067065;0,290846947562099;0,290151401535797;0,29037033688731;0,290490393086398;0,290817259382752;0,291118956477906
"ALEEP30RE015";0,580792469465558;0,543921470092971;0,508309867714321;0,475597414614273;0,446779383061145;0,418737863333661;0,390968980916073;0,371390923970891;0,357536433138677;0,368800617280886
"MIFTF45";0,245478626477902;0,160491712707854;0,1308336236537;0,119010565129616;0,113332499610493;0,109662921529045;0,104340346447715;0,099422223766623;0,0986970606744437;0,112138462081796
"MIFTF20";0,32547239496071;0,231152592453876;0,19119856676647;0,172164969919489;0,163382578696828;0,158035287356035;0,152296506725576;0,146104203539751;0,144182566693036;0,161292816165942
"MIFEP30";0,288733724734398;0,24699728110519;0,215561718964078;0,197343411717437;0,187232470646795;0,181850992738256;0,176508990662074;0,170391809218727;0,167782880039051;0,185023167188196
"MIFEP30RE015";0,354210916572693;0,262366027180668;0,220432816969665;0,199793855367299;0,188954431384339;0,183730133937271;0,177854445332902;0,171189875885661;0,16793721050808;0,185068461950989
"PR1TF45";0,339323388996597;0,251584843568391;0,201824182910951;0,183662534531857;0,161266817975187;0,155597240561649;0,148067779809959;0,144446624587909;0,142878967630469;0,159457974440441
"PR1TF20";0,356354522238113;0,264464607001394;0,219375262472328;0,200074749621337;0,187000051140282;0,180540127245256;0,172751219502385;0,16794796436392;0,164206377566508;0,182167692879861
"PR2TF45";0,33855668753278;0,250326966990328;0,199396010707669;0,179595596674576;0,160130142621716;0,153772077466254;0,145805155926093;0,142029802627255;0,141567874701025;0,158488989347409
"PR2TF20";0,369207230883934;0,276887547968902;0,229807984902008;0,208594918638864;0,195494427702977;0,187970943292532;0,180530526948542;0,174758745351621;0,172029884544102;0,189307788252932
"PR2EP30";0,314220816261577;0,27388068461854;0,25011960972316;0,239973621539995;0,22729671857901;0,224495704464356;0,218034106607708;0,214493172526389;0,212501339939102;0,225695856075709
"PR2EP30RE015";0,420210963555496;0,343515019574152;0,296366678187196;0,273012527015655;0,246613848551637;0,234345486097531;0,224703460732337;0,217988263993653;0,21456575695697;0,230048915825743
"PR3EP30";0,304054350060004;0,269068347301826;0,244113487273616;0,230659505943168;0,218917833455808;0,215033187173465;0,207924368235452;0,204099192351691;0,201713473388267;0,216246991277938
"PR3EP30RE015";0,408966426418207;0,319122297281501;0,273284925205574;0,248480041613519;0,229789695380598;0,220980199306915;0,210391296584077;0,204500741989125;0,202197469066334;0,218073687860502
