"decil1";"decil2";"decil3";"decil4";"decil5";"decil6";"decil7";"decil8";"decil9";"decil10"
"ALETF45";0,637377795703797;0,624885953872546;0,616614978057065;0,603684542230964;0,585792366694098;0,552362050762913;0,497394427684909;0,42101875382365;0,326393557516997;0,233931792634938
"ALETF20";0,710125731676443;0,706715735129225;0,700784876421233;0,696988242940301;0,689852081974167;0,675008925037866;0,651906537184202;0,612698896892746;0,546802925897489;0,402912714536167
"ALEEP30";0,612775078315582;0,598283059616786;0,585593266287727;0,565602939524747;0,542130818426858;0,501897576583236;0,439092592287008;0,363613498409113;0,309361123308431;0,292364386428943
"ALEEP30RE015";0,735899961463468;0,731859626106875;0,729577530136845;0,725161867478202;0,720850271820428;0,713361341871967;0,694628132658129;0,671621151959884;0,619427176848796;0,475459401167223
"MIFTF45";0,401226792539985;0,361114872188462;0,325414771716843;0,288896467657094;0,252709008860262;0,212382353555395;0,174074577164962;0,146791344360649;0,129339789707942;0,118241437723671
"MIFTF20";0,46083769599825;0,430711151796584;0,402829634499168;0,372169465664705;0,337590594044892;0,295865839891556;0,247349125169672;0,205933195111056;0,180109253702978;0,173654917293442
"MIFEP30";0,397387189325753;0,35923803188608;0,330022095741745;0,307281241622671;0,294702679212111;0,283938112234414;0,263450350206834;0,231192855257915;0,204510686692457;0,200308964801682
"MIFEP30RE015";0,474170493499968;0,446708591952981;0,420445460562241;0,392445723937574;0,361529561767459;0,323542543002348;0,277278343044365;0,233856219410017;0,204710149077476;0,200389681233626
"PR1TF45";0,451499056661833;0,425193307447765;0,393170984990614;0,354640442196464;0,315658847004501;0,272853011008859;0,217011070097482;0,172477909563866;0,144915033516818;0,127549748882382
"PR1TF20";0,508579925710211;0,48643321314536;0,462123235303331;0,433969570623424;0,399646771364785;0,357964447880438;0,298060086242021;0,244937432218014;0,210089201576549;0,192573418813609
"PR2TF45";0,461124723650327;0,433116700314569;0,402423485361456;0,366819092438761;0,328912322058811;0,282684200847078;0,227117919782337;0,181949394113223;0,152986110258214;0,134245454935107
"PR2TF20";0,522807775764786;0,499749218507801;0,47941093698251;0,451723768633555;0,420161768835798;0,376168794467486;0,31928102192232;0,264820694319054;0,226111816495377;0,203283187805127
"PR2EP30";0,448009422023757;0,417655072907928;0,386463242390405;0,350540978348242;0,321529710054882;0,300054088065936;0,287947636169457;0,282699509408883;0,276927100619959;0,257686882925068
"PR2EP30RE015";0,640896135939917;0,630189638022695;0,618813383405896;0,603276548486635;0,584478468763515;0,554109901822227;0,503813064101733;0,431619369404078;0,352207199058077;0,272724713413293
"PR3EP30";0,462163994767191;0,432500788855693;0,398679518770021;0,365636921436629;0,33440274454135;0,30612840200091;0,288049657466659;0,282297044418182;0,280789223955168;0,272827484336777
"PR3EP30RE015";0,707248933325479;0,701893363747245;0,696400849788323;0,693586895641851;0,685587939522905;0,66743908933063;0,643874139106716;0,599429031781119;0,525742536205495;0,358674185598948
