"area";"selection";"stop";"length_mean";"length_median";"min_length";"max_length";"se";"correlation";"rmse";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"CH";"Aleatorio";"TF45";45;45;45;45;0,371051221017696;0,920600031435231;0,33442457775581;0,063285899587852;0,0392416225749559;0,0930335097001764;0;0;0,0608821418116604
"CH";"Aleatorio";"TF45";45;45;45;45;0,372092568199818;0,920463800539205;0,336586518646921;0,057479134823117;0,0348324514991182;0,0947971781305115;0;0;0,0608889244871347
"CH";"Aleatorio";"TF45";45;45;45;45;0,368894434397105;0,917177192178144;0,341643136693635;0,0555474304825864;0,0361552028218695;0,0881834215167548;0;0;0,06085816483785
"CH";"Aleatorio";"TF45";45;45;45;45;0,371964276459265;0,911600516722718;0,357489619401448;0,0629970712896219;0,0348324514991182;0,085978835978836;0;0;0,0608722313291521
"CH";"Aleatorio";"TF45";45;45;45;45;0,368735346246514;0,923210320715898;0,328135177248986;0,0500015492980039;0,0374779541446208;0,0983245149911817;0;0;0,0609187509785197
"CH";"Aleatorio";"TF45";45;45;45;45;0,369601796761497;0,915623889527639;0,341171785374067;0,041978904796714;0,037037037037037;0,0952380952380952;0;0;0,0608498614606133
"CH";"Aleatorio";"TF45";45;45;45;45;0,370819806463132;0,914422768128994;0,347902721080517;0,0607362728494708;0,0374779541446208;0,0921516754850088;0;0;0,0609041401451095
"CH";"Aleatorio";"TF45";45;45;45;45;0,372856474358612;0,916669687324454;0,342722670168603;0,0570100742512163;0,0388007054673721;0,0873015873015873;0;0;0,0608034800568604
"CH";"Aleatorio";"TF45";45;45;45;45;0,367940562618859;0,920133498413915;0,333472732660402;0,0499315231184322;0,0392416225749559;0,0881834215167548;0;0;0,0608373156710736
"CH";"Aleatorio";"TF45";45;45;45;45;0,369795054591075;0,920781629851314;0,334180852065536;0,0496074999427244;0,0379188712522046;0,0855379188712522;0;0;0,0608355357587835
"CH";"Aleatorio";"TF45";45;45;45;45;0,36957697073592;0,91982172529201;0,334213101782534;0,0515315214333041;0,0357142857142857;0,0970017636684303;0;0;0,0609080628644284
"CH";"Aleatorio";"TF45";45;45;45;45;0,369344395857331;0,919814134744032;0,335652559947791;0,0504386657657829;0,0374779541446208;0,0925925925925926;0;0;0,0608862891801033
"CH";"Aleatorio";"TF45";45;45;45;45;0,369311520888078;0,915704414506869;0,343384073373994;0,0517290639260438;0,0343915343915344;0,0952380952380952;0;0;0,060925533653994
"CH";"Aleatorio";"TF45";45;45;45;45;0,371664293916249;0,9141192844556;0,346688076439422;0,0565915768981066;0,0379188712522046;0,0961199294532628;0;0;0,0608387758903795
"CH";"Aleatorio";"TF45";45;45;45;45;0,368827317050282;0,912760009468026;0,348505182956292;0,0416307651557913;0,0388007054673721;0,0873015873015873;0;0;0,0608322524254329
"CH";"Aleatorio";"TF45";45;45;45;45;0,371116137160427;0,923222274050629;0,328758570773451;0,0541716177968272;0,0361552028218695;0,0930335097001764;0;0;0,0608423270746087
"CH";"Aleatorio";"TF45";45;45;45;45;0,373151988246679;0,918834283969317;0,340466198585371;0,0556623792316535;0,0383597883597884;0,091710758377425;0;0;0,0608360196184352
"CH";"Aleatorio";"TF45";45;45;45;45;0,370495640659623;0,916066575521682;0,340105147272318;0,0430627645661211;0,0361552028218695;0,0921516754850088;0;0;0,0608960959784005
"CH";"Aleatorio";"TF45";45;45;45;45;0,37003739805665;0,919194958661927;0,338426051582886;0,056434973379418;0,0383597883597884;0,0899470899470899;0;0;0,060868109881762
"CH";"Aleatorio";"TF45";45;45;45;45;0,371027421406239;0,917211852515082;0,342872169340174;0,0553645168742375;0,0374779541446208;0,0925925925925926;0;0;0,0609127459346285
"CH";"Aleatorio";"TF20";20;20;20;20;0,494010012388818;0,851015831878434;0,4415362644041;0,0538101882764549;0,0158730158730159;0,0383597883597884;0;0;0,0270214533001129
"CH";"Aleatorio";"TF20";20;20;20;20;0,494168131137004;0,856078348124706;0,436383059762139;0,0520138809840068;0,0158730158730159;0,0383597883597884;0;0;0,027021356096165
"CH";"Aleatorio";"TF20";20;20;20;20;0,495351982111304;0,859463921991515;0,432100343021083;0,0629424068629601;0,0145502645502645;0,0379188712522046;0;0;0,0270075531355661
"CH";"Aleatorio";"TF20";20;20;20;20;0,494479750486389;0,860199119938552;0,430455828454639;0,0514315839749994;0,0154320987654321;0,0414462081128748;0;0;0,0270185760632557
"CH";"Aleatorio";"TF20";20;20;20;20;0,497889814158138;0,855505031130537;0,438835795845286;0,0634982958030063;0,0163139329805996;0,0405643738977072;0;0;0,0270413412278492
"CH";"Aleatorio";"TF20";20;20;20;20;0,495450104493671;0,864414986587506;0,425960871383938;0,0627903544265741;0,0163139329805996;0,0379188712522046;0;0;0,0270248554382887
"CH";"Aleatorio";"TF20";20;20;20;20;0,495053348685586;0,850580253645501;0,445739370174202;0,0645826323849285;0,0158730158730159;0,0383597883597884;0;0;0,0270359950107158
"CH";"Aleatorio";"TF20";20;20;20;20;0,496071680231825;0,85178672682268;0,444857366653129;0,0621294177137653;0,0163139329805996;0,0454144620811287;0;0;0,0270530251423843
"CH";"Aleatorio";"TF20";20;20;20;20;0,495696954788757;0,853606976545765;0,441839999136241;0,0628598318709163;0,0158730158730159;0,0423280423280423;0;0;0,0270169624777209
