"area";"condition";"length_mean_sd";"length_mean_min";"length_mean_max";"length_mean";"length_median_sd";"length_median_min";"length_median_max";"length_median";"min_length_sd";"min_length_min";"min_length_max";"min_length";"max_length_sd";"max_length_min";"max_length_max";"max_length";"se_sd";"se_min";"se_max";"se";"correlation_sd";"correlation_min";"correlation_max";"correlation";"rmse_sd";"rmse_min";"rmse_max";"rmse";"bias_sd";"bias_min";"bias_max";"bias";"min_exp_sd";"min_exp_min";"min_exp_max";"min_exp";"max_exp_sd";"max_exp_min";"max_exp_max";"max_exp";"n_exp_rmax_sd";"n_exp_rmax_min";"n_exp_rmax_max";"n_exp_rmax";"overlap_sd";"overlap_min";"overlap_max";"overlap";"n_exp0_sd";"n_exp0_min";"n_exp0_max";"n_exp0"
"CH";"ALEEP30";0,217131625376442;44,7627865961199;45,6067019400353;45,1361331569665;1,06251934966901;55;58;56,55;0;15;15;15;0;60;60;60;0,00110535553689583;0,372824624573984;0,376843654069866;0,374868200548157;0,00271834053960471;0,913656450987434;0,922803389084456;0,918454811945292;0,00574011934586394;0,328624309322239;0,348233992887636;0,338499342104602;0,00694621571507796;0,0278680549102767;0,0591602081439913;0,0481470495782651;0,00193768686500095;0,0317460317460317;0,0379188712522046;0,0356922398589065;0,00260496809221856;0,0934744268077601;0,101410934744268;0,0964726631393298;0;0;0;0;0,000299050915395113;0,0609341779318073;0,0620921827932282;0,0614575660495504;0;0;0;0
"CH";"ALEEP30RE015";0,014841970835621;15,3743386243386;15,4334215167548;15,4041225749559;0;15;15;15;0;15;15;15;0,812727700887249;20;23;21,35;0,00218391964663711;0,535458113545213;0,543430387456525;0,540043773798316;0,00660500677649686;0,812154419431854;0,840002548871153;0,827712943485917;0,00894659969276192;0,456248466977724;0,497536341000333;0,473659494246863;0,00959133850715414;0,0492221623524709;0,0857387159135474;0,0642272464732667;0,000631297225012185;0,0101410934744268;0,0123456790123457;0,0114858906525573;0,0010342896240444;0,0291005291005291;0,0326278659611993;0,0307980599647266;0;0;0;0;2,68110533610816e-05;0,0208278751889338;0,0209250648858784;0,0208682826439451;0;0;0;0
"CH";"ALETF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00150380062724849;0,493833293021777;0,499126404882415;0,495895065210675;0,00397659335161559;0,850580253645501;0,864414986587506;0,856510983843564;0,00592788092133371;0,425000254480227;0,445739370174202;0,436292239252537;0,00513356679317666;0,0514315839749994;0,0719770654078373;0,0600531494648688;0,000868977096999717;0,0132275132275132;0,0167548500881834;0,0154761904761905;0,00213670680066472;0,0365961199294533;0,0454144620811287;0,0399911816578483;0;0;0;0;1,87085052451706e-05;0,027004714780288;0,0270692970832595;0,0270303183001596;0;0;0;0
"CH";"ALETF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00144550540543849;0,367940562618859;0,373151988246679;0,370415231254553;0,00326006658152661;0,911600516722718;0,923222274050629;0,917871642401134;0,00709902359465363;0,328135177248986;0,357489619401448;0,339840046157508;0,00622112640280474;0,0416307651557913;0,063285899587852;0,0532596602733512;0,00148853566028456;0,0343915343915344;0,0392416225749559;0,0371913580246914;0,0037600609595173;0,0855379188712522;0,0983245149911817;0,091820987654321;0;0;0;0;3,47237061961034e-05;0,0608034800568604;0,060925533653994;0,0608698379519465;0;0;0;0
"CH";"MIFEP30";0,135159908842588;21,4360670194004;21,9435626102293;21,6684744268078;0;15;15;15;0;15;15;15;0;60;60;60;0,000588844443983689;0,237735396958775;0,239678753448062;0,238791439015295;0,00164338804836576;0,955079428629203;0,961648027370944;0,958602837290821;0,00472500433630725;0,228491572082212;0,247542654053751;0,238288756566345;0,00537090611461039;0,00820749310732304;0,0245837743794548;0,0168966635573743;0;0;0;0;0;1;1;1;0,680557047378721;19;21;19,6;0,00147027209974631;0,296574181804986;0,302229101439353;0,298801942258194;3,60518632265416;574;589;582,95
"CH";"MIFEP30RE015";0,00719437668232683;15,1111111111111;15,1362433862434;15,1257275132275;0;15;15;15;0;15;15;15;0,5871429486124;18;20;18,85;0,00103893901648837;0,265941114107465;0,269856865101831;0,267803215048755;0,00181932699987348;0,949339611100944;0,955177612082063;0,951998290630584;0,0051723290871213;0,250751950134653;0,270054522326361;0,260691899101185;0,00589148000560361;0,0217223069087431;0,0414448761403852;0,0317532406963203;0;0;0;0;0;1;1;1;0,833508753466491;13;16;14,2;0,00184714316282492;0,330671789860223;0,337848133700787;0,334945923104145;1,67332005306815;646;653;649,8
"CH";"MIFTF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,000936616514452804;0,238162782784035;0,24219474426731;0,239841958545536;0,00123646457442864;0,95734453577597;0,962489201459025;0,959811618568873;0,00366076041677238;0,229835586435342;0,245117276073137;0,239027429466497;0,00521718436902874;0,0207186177982939;0,0387979845869166;0,0286437280389988;0;0;0;0;0;1;1;1;0,489360484929593;19;20;19,35;0,00150326789242836;0,319754797209236;0,326137908295463;0,323155005886671;2,60111312204683;606;618;613,85
"CH";"MIFTF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,000550686305411668;0,17556382633857;0,17737319696878;0,176391916890543;0,00125436685378291;0,972778300300186;0,978338164130584;0,975748218899826;0,00496209764082884;0,174953482826131;0,196788430926593;0,185785043852115;0,00390127162053456;0,0149318505100727;0,0283134597690882;0,0209295459488983;0;0;0;0;0;1;1;1;1,29370947686346;55;59;56,9;0,00108482621868229;0,332229563064366;0,336784721509393;0,334712228360327;4,86231480502424;457;474;467,8
"CH";"PR1TF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,000874430098375093;0,268005207402437;0,271206183318729;0,269373625227668;0,00156398341201037;0,947845681736966;0,953210645539888;0,951059936450367;0,00467872424381523;0,256693372085926;0,272772360419426;0,263649474851596;0,00422251923034925;0,0282424308260877;0,0420233975334916;0,0343256434584875;0,000242557144717893;0;0,000881834215167548;0,000551146384479718;9,85920625e-05;0,299823633156966;0,30026455026455;0,300242504409171;1,30887657735053;0;5;3,15;0,00064292043506303;0,1413780875862;0,144180321877265;0,142733970874587;0,447213595499958;0;2;0,1
"CH";"PR1TF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,000884752668955738;0,198759965004278;0,20213710968977;0,200059700142416;0,00131964642182987;0,966890276565251;0,972411632831077;0,969443345153394;0,00475561040829736;0,199905077924912;0,219639927009429;0,208436261290862;0,00533057706588528;0,0161529417649941;0,0371923634384137;0,0242557254115864;0,000653985757239476;0,00220458553791887;0,00485008818342152;0,00392416225749559;0;0,30026455026455;0,30026455026455;0,30026455026455;2,92178748461676;5;18;12,3;0,000486887332010406;0,172907427971443;0,174775886577768;0,173531726158939;0;0;0;0
